locale is "es_ES.UTF-8"
locale charset is "UTF-8"
locale is "es_ES.UTF-8"
locale charset is "UTF-8"
1> 2> Name	Owner	Object_type
AyeT_Deudas	dbo	user table
AyeT_DuplicadosWatts	dbo	user table
AyeT_EmpCChC	dbo	user table
AyeT_EmpCChC_Bak	dbo	user table
AyeT_EmpCChC_ISA	dbo	user table
AyeT_EmpCChCOficial	dbo	user table
AyeT_EmpCChCOficial_ISA	dbo	user table
AyeT_EmpresasNuevas	dbo	user table
AyeT_EmpresasVIP	dbo	user table
AyeT_EnvioMailAvisoEmpresa	dbo	user table
AyeT_Excedentes	dbo	user table
AyeT_ExcedentesEmpresa	dbo	user table
AyeT_ExcedentesxDistribuir	dbo	user table
AyeT_Fanaloza	dbo	user table
AyeT_FechasNac	dbo	user table
AyeT_GestionACG	dbo	user table
AyeT_GestionPrestamos	dbo	user table
AyeT_GestionRentas	dbo	user table
AyeT_GestionSK	dbo	user table
AyeT_Giros	dbo	user table
AyeT_Habitat	dbo	user table
AyeT_HabitatCorrige	dbo	user table
AyeT_HabitatNoAfectadas	dbo	user table
AyeT_HabitatRentas	dbo	user table
AyeT_HomologacionCONSALUD	dbo	user table
AyeT_ImedPrestadoresLugares	dbo	user table
AyeT_Indicadores	dbo	user table
AyeT_Indicadores2	dbo	user table
AyeT_IngresoAportes	dbo	user table
AyeT_JubiladosSK	dbo	user table
AyeT_Muestra	dbo	user table
AyeT_Muestras	dbo	user table
AyeT_MuestrasCostos2009	dbo	user table
AyeT_NoCupon	dbo	user table
AyeT_PAC200904	dbo	user table
AyeT_Paquetes	dbo	user table
AyeT_PasoCtaCte	dbo	user table
AyeT_Perfiles	dbo	user table
AyeT_PlanillaAporte	dbo	user table
AyeT_PrestadoresIsabel	dbo	user table
AyeT_PrestadoresIsabelFINAL	dbo	user table
AyeT_PrestadoresOHFinal	dbo	user table
AyeT_ProRutProceso	dbo	user table
AyeT_Rechazos	dbo	user table
AyeT_RechazosDetallados	dbo	user table
AyeT_RegCiv	dbo	user table
AyeT_Regiones	dbo	user table
AyeT_Respuestas	dbo	user table
AyeT_Rubros	dbo	user table
AyeT_Ruts	dbo	user table
AyeT_SalcoBrand	dbo	user table
AyeT_SaldosCtaSociosCChC	dbo	user table
AyeT_SigdoKoppers	dbo	user table
AyeT_SuperVips	dbo	user table
AyeT_TitularesSK	dbo	user table
AyeT_Tradicionales	dbo	user table
AyeT_Transfers	dbo	user table
AyeT_Transfers2	dbo	user table
AyeT_TransfersRechSM	dbo	user table
AyeT_Trx201105	dbo	user table
AyeT_Usuarios	dbo	user table
AyeT_WattsDeudas	dbo	user table
AyeT_WattsExcedentes	dbo	user table
BackT_SbeT_BonificacionCar_COMP191_133	dbo	user table
BackT_SbeT_BonificacionCar_COMP192_133	dbo	user table
BackT_SbeT_BonificacionCar_COMP193_133	dbo	user table
BackT_SbeT_BonificacionCar_COMP194_133	dbo	user table
BackT_Sbet_CompBonificaCOM191_133	dbo	user table
BackT_Sbet_CompBonificaCOM192_133	dbo	user table
BackT_Sbet_CompBonificaCOM193_133	dbo	user table
BackT_Sbet_CompBonificaCOM194_133	dbo	user table
banchile_aux	dbo	user table
BaseRuts	dbo	user table
Ben_Hospitalaria	dbo	user table
Ben_MedicamentoFarm	dbo	user table
Ben_MedicamentoSM	dbo	user table
Beneficiarios	dbo	user table
BieT_Comunas	dbo	user table
BieT_EnfermedadesGraves	dbo	user table
BieT_Grupos	dbo	user table
BieT_ModulosBeneficiarios	dbo	user table
BieT_ReembolsoFdoRetiroElimi	dbo	user table
BieT_ReglasPrestacion	dbo	user table
BieT_RequerimientoPago	dbo	user table
BieT_SistemaPrestacion	dbo	user table
BieT_Sucursales	dbo	user table
BieT_TopesHabitat	dbo	user table
BieT_TopesHabitat2011	dbo	user table
BieT_TopesHabitat2012	dbo	user table
BieT_TopesPorGrupo	dbo	user table
BieT_TopesPorGrupo2011	dbo	user table
BieT_TopesPorGrupo2012	dbo	user table
BieT_TotalMontoCobertura	dbo	user table
Call_VedemecumRechazados	dbo	user table
CantAdhMesFinEje	dbo	user table
CantAdhPrimMes	dbo	user table
CantAdhUltMes	dbo	user table
CantAdhUltMes1	dbo	user table
CantAdhUltMes2	dbo	user table
Car800	dbo	user table
Cartera178	dbo	user table
Cartera181	dbo	user table
Cartera191	dbo	user table
CarteraNacional	dbo	user table
CarteraSep	dbo	user table
carteratrimestre11	dbo	user table
CasosEspecialesMismoMes	dbo	user table
Cden_AnalisisContraloriaDental	dbo	user table
Cden_Config	dbo	user table
Cden_Depto	dbo	user table
Cden_Documentos	dbo	user table
Cden_DocumentosDet	dbo	user table
Cden_Estados	dbo	user table
Cden_PrestacionesEdad	dbo	user table
Cden_TipoError	dbo	user table
CodComunas	dbo	user table
Com_CarteraEjecutivos	dbo	user table
Com_CheckList	dbo	user table
Com_Empresa	dbo	user table
Com_EmpresaFicha	dbo	user table
Com_EmpresafichaContactoDet	dbo	user table
Com_EstadoEmpresa	dbo	user table
Com_EstadoFicha	dbo	user table
Com_EstadoProceso	dbo	user table
Com_EstadosContactoDet	dbo	user table
Com_FormaContacto	dbo	user table
Com_Holding	dbo	user table
Com_PanelControl	dbo	user table
Com_QuienPromueve	dbo	user table
Com_Rubros	dbo	user table
Com_TablaSiNo	dbo	user table
Com_TieneSucursal	dbo	user table
Com_TipoEmpresa	dbo	user table
Com_TipoPlan	dbo	user table
Comision	dbo	user table
Compendio	dbo	user table
comunas	dbo	user table
CONAFE	dbo	user table
ConT_CentrosResp	dbo	user table
Contador	dbo	user table
ConvenioPrestamos	dbo	user table
Correlativo_IMED	dbo	user table
CorrigeSobres	dbo	user table
CtasConstrumart	dbo	user table
CtlT_CantidadErroresBonificadoras	dbo	user table
CtlT_CantidadPorTipoRechazo	dbo	user table
CtlT_CaratulaAmbulatorios	dbo	user table
CtlT_CaratulaProgMedicos	dbo	user table
CtlT_DiferenciaMtoRecalculado	dbo	user table
CtlT_LogTareaContraloria	dbo	user table
CtlT_ReembolsosAmbulatorios	dbo	user table
CtlT_ReembolsosProgMedicos	dbo	user table
CtlT_SupervisorasProgMedicos	dbo	user table
CtlT_TipoIndResumen	dbo	user table
CtlT_TotalBonifDiarias	dbo	user table
CtlT_TotalErrorEfectivo	dbo	user table
CtlT_TotalErrorEfectivoPorcentUniverso	dbo	user table
CtlT_TotalErrorMuestraRevisada	dbo	user table
CtlT_TotalMontoError	dbo	user table
CtlT_TotalMontoMuestraDiariaRevisada	dbo	user table
CtlT_TotalMuestraDiaria	dbo	user table
CtlT_TotalMuestraDiariaRevisada	dbo	user table
CtlT_TotalPorcentErrorEfectivo	dbo	user table
CtlT_TotalPorcentErrorMuestraRevisada	dbo	user table
CtlT_TotalPorcentUniverso	dbo	user table
CtlT_TotalRelacionMontos	dbo	user table
CtlT_TrackingContraloria	dbo	user table
Cub_Poblacion	dbo	user table
Datos_Finales_Imed	dbo	user table
DatosImedAuditoria	dbo	user table
DatosImedOctubre	dbo	user table
