
SQL*Plus: Release 11.2.0.3.0 Production on Mon Aug 3 16:47:43 2015

Copyright (c) 1982, 2011, Oracle.  All rights reserved.


Connected to:
Oracle Database 10g Release 10.2.0.5.0 - 64bit Production

SQL> SQL> 
OBJECT_NAME		       PROCEDURE_NAME		      OBJECT_TYPE	  OWNER
ANYDATA 		       ACCESSUROWID		      TYPE		  SYS
ANYDATA 		       ACCESSVARCHAR		      TYPE		  SYS
ANYDATA 		       ACCESSVARCHAR2		      TYPE		  SYS
DBMS_XDB		       ACLCHECKPRIVILEGES	      PACKAGE		  XDB
STANDARD		       ACOS			      PACKAGE		  SYS
STANDARD		       ACOS			      PACKAGE		  SYS
LTADM			       ACQUIRELOCKONRESOURCE	      PACKAGE		  WMSYS
LTADM			       ACQUIRELOCKS		      PACKAGE		  WMSYS
PCK_AFILIADOS_WS	       ACREDITACION_COTIZACIONES      PACKAGE		  ADMGLOB
PCK_AFILIADOS_WS	       ACREDITACION_EMPLEADORES_FUNES PACKAGE		  ADMGLOB
PCK_AFILIADOS_WS	       ACREDITACION_PAGADORES	      PACKAGE		  ADMGLOB
MGMT_BSLN		       ACTIVATE_BASELINE	      PACKAGE		  DBSNMP
DBMS_CDC_SUBSCRIBE	       ACTIVATE_SUBSCRIPTION	      PACKAGE		  SYS
DBMS_CDC_SUBSCRIBE	       ACTIVATE_SUBSCRIPTION	      PACKAGE		  SYS
DBMS_UTILITY		       ACTIVE_INSTANCES 	      PACKAGE		  SYS
KUPV$FT_INT		       ACTIVE_JOB		      PACKAGE		  SYS
ACTUALIZA_PRECIOS_HISTORICOS_B ACTUALIZA_20072008_20092010    PACKAGE		  ADMPLAN
ACTUALIZA_PRECIOS_HISTORICOS_B ACTUALIZA_20092010	      PACKAGE		  ADMPLAN
PROCESO_ADECUACION_XCONTRATO   ACTUALIZA_ALTER2 	      PACKAGE		  ADMPLAN
OPER_INTERFAZ		       ACTUALIZA_AMBITO_ISL	      PACKAGE		  OPER
PSIL42_INFORMEMED	       ACTUALIZA_ANEXOINFORME	      PACKAGE		  PSIL42
PSIL42_PERITAJE 	       ACTUALIZA_ANEXOINFORME	      PACKAGE		  PSIL42
POLICONSLT_PREST_HOSTORICA     ACTUALIZA_CARGA_POLI	      PACKAGE		  PSIL42
POLICONSLT_PREST_HOSTORICA_PRB ACTUALIZA_CARGA_POLI	      PACKAGE		  PSIL42
PSIL42_INFORMEMED	       ACTUALIZA_CARTAS_XINFORME      PACKAGE		  PSIL42
PSIL42_REPOSO_HISTORICOS       ACTUALIZA_CNTTEXPACIENTE       PACKAGE		  PSIL42
PSIL42_ESTADOS_PACIENTE_FECRES ACTUALIZA_CNTTEXPACIENTE       PACKAGE		  PSIL42
PSIL42_ESTADOS_PACIENTE        ACTUALIZA_CNTTEXPACIENTE       PACKAGE		  PSIL42
PSIL42_CONSULTA_PAUTAS	       ACTUALIZA_CNTTEXPACIENTE       PACKAGE		  PSIL42
PSIL42_PRUEBAS		       ACTUALIZA_CNTTEXPACIENTE       PACKAGE		  PSIL42
PSIL42_INFORMEMED	       ACTUALIZA_COMPIN 	      PACKAGE		  PSIL42
PCK_REAJUSTE_GES	       ACTUALIZA_CORRELATIVOS	      PACKAGE		  ADMGESV3
POLICONSLT_PREST_HOSTORICA     ACTUALIZA_COTIZ_POLI	      PACKAGE		  PSIL42
POLICONSLT_PREST_HOSTORICA_PRB ACTUALIZA_COTIZ_POLI	      PACKAGE		  PSIL42
PCK_ACTUALIZA_CTAS_CTES        ACTUALIZA_CTA_CTE	      PACKAGE		  ADMGLOB
PROCESO_FUN_MASIVOS_PV	       ACTUALIZA_DATOS_AFI	      PACKAGE		  ADMPLAN
PROCESO_FUN_MASIVOS_VH	       ACTUALIZA_DATOS_AFI	      PACKAGE		  ADMPLAN
