locale is "es_ES.UTF-8"
locale charset is "UTF-8"
locale is "es_ES.UTF-8"
locale charset is "UTF-8"
1> 2> Name	Owner	Object_type
PROD0493	dbo	view
PROD0507	dbo	view
PROD0655	dbo	view
PROD068K	dbo	view
PROD0787	dbo	view
PROD104K	dbo	view
PROD2003	dbo	view
PROD2011	dbo	view
PROD7102	dbo	view
PROD720K	dbo	view
RDS	dbo	view
RECAUDA	dbo	view
RECAUDACION	dbo	view
RECEP	dbo	view
REEMBAMB	dbo	view
REEMCRISTI	dbo	view
REE_AMBULATORIOS	dbo	view
REE_NULOSYDEVUELTOS	dbo	view
RESP_ACCION	dbo	view
RESP_DOCUM	dbo	view
RESP_PAGOS	dbo	view
RESUMEN140	dbo	view
SALDO_EXS	dbo	view
SAP_ASISTENCIAVIAJE	dbo	view
SAP_AUDITA_LCC	dbo	view
SAP_BEN	dbo	view
SAP_BEN_VALIDA	dbo	view
SAP_BONNC	dbo	view
SAP_BON_SI	dbo	view
SAP_CAPENTDBN	dbo	view
SAP_CAPENTRCD	dbo	view
SAP_CAPENTRCDIRR	dbo	view
SAP_CAPENTRCDRZME	dbo	view
SAP_CAPENTRLIN	dbo	view
SAP_CIERRECONTABLE	dbo	view
SAP_CNT	dbo	view
SAP_CNT_VALIDA	dbo	view
SAP_COB	dbo	view
SAP_COB_VALIDA	dbo	view
SAP_COMPENSACIONOPA	dbo	view
SAP_COMPENSACIONOPA_LOG	dbo	view
SAP_COMPENSA_OPA	dbo	view
SAP_CONTAB	dbo	view
SAP_COTIZA	dbo	view
SAP_CTLBAP37	dbo	view
SAP_CTLDBN	dbo	view
SAP_CTLLIN	dbo	view
SAP_CTLMALAJU	dbo	view
SAP_CTLMALAJU_SI	dbo	view
SAP_CTLMALAPE	dbo	view
SAP_CTLMALAPEDEV	dbo	view
SAP_CTLMALAPEDEV_SI	dbo	view
SAP_CTLMALAPE_SI	dbo	view
SAP_CTLMALGEN	dbo	view
SAP_CTLMALGEN_SI	dbo	view
SAP_CTLPLA	dbo	view
SAP_CTLPLATODAS	dbo	view
SAP_CTLRZPAJU	dbo	view
SAP_CTLRZPAJU_SI	dbo	view
SAP_CTLRZPAPE	dbo	view
SAP_CTLRZPAPEDEV	dbo	view
SAP_CTLRZPAPEDEV_SI	dbo	view
SAP_CTLRZPAPE_SI	dbo	view
SAP_CTLRZPGEN	dbo	view
SAP_CTLRZPGEN_SI	dbo	view
SAP_CTL_CONTROL	dbo	view
SAP_CTL_FOLIO	dbo	view
SAP_CTL_PROCESOS	dbo	view
SAP_CUADRA	dbo	view
SAP_CUADRAOPA	dbo	view
SAP_CUADRAOPAIMED	dbo	view
SAP_CUADRA_PLA	dbo	view
SAP_CUADRA_RCD	dbo	view
SAP_CUADRA_ZK	dbo	view
SAP_DEVBONOKINE	dbo	view
SAP_DNP_HIS	dbo	view
SAP_DNP_SINICIAL	dbo	view
SAP_DOCLOG	dbo	view
SAP_EMIAMB_SI	dbo	view
SAP_EMIAMB_ZI	dbo	view
SAP_EMISIONAMB	dbo	view
SAP_EMISIONOPA	dbo	view
SAP_EMISIONOPA_CRIS	dbo	view
SAP_EMITEANULACION	dbo	view
SAP_EMITEANULACION_HIST	dbo	view
SAP_EMP	dbo	view
SAP_EMP_COPIA	dbo	view
SAP_EXCEDENTE	dbo	view
SAP_EXCEDENTE_EXCESO_SI	dbo	view
SAP_EXCESO	dbo	view
SAP_EXC_LV_SI	dbo	view
SAP_FOLIOS_LCC_SI	dbo	view
SAP_FOLIO_IDCHEQUE_REE	dbo	view
SAP_INGRESOEGRESO	dbo	view
SAP_INTERESVARIOS	dbo	view
SAP_LCC_SI	dbo	view
SAP_LCC_SI_NSV_UNIDAS	dbo	view
SAP_LEGACY	dbo	view
SAP_LIBRO	dbo	view
SAP_LIBROPDNP	dbo	view
SAP_LIBROVAX	dbo	view
SAP_LIBROVENTA	dbo	view
SAP_LIBROVENTA_BG	dbo	view
SAP_LIMPIA	dbo	view
SAP_MAESTRO	dbo	view
SAP_MALENTERADA_SI	dbo	view
SAP_NOMINA_ANTIGUA_LCC	dbo	view
SAP_NOMINA_ELECTRONICA_EXS	dbo	view
SAP_NOMINA_ELECTRONICA_LCC	dbo	view
SAP_NOMINA_ELECTRONICA_OPA	dbo	view
SAP_NOMINA_ELECTRONICA_REE	dbo	view
SAP_NOMINA_REE_SIN_CHEQUE	dbo	view
SAP_NOTACREDITOOPA	dbo	view
SAP_NSV_RECAUDA	dbo	view
SAP_NULOS	dbo	view
SAP_OPA	dbo	view
SAP_OPANOCOMPENSA_A	dbo	view
SAP_OPANOCOMPENSA_B	dbo	view
SAP_OPANOCOMPENSA_C	dbo	view
SAP_OPA_ERROR	dbo	view
SAP_OPA_SI	dbo	view
SAP_OTROSINGRESOS	dbo	view
SAP_PASOXFOLIO	dbo	view
SAP_PASO_FOLIO_CLASE	dbo	view
SAP_PLANDECUENTAS	dbo	view
SAP_PRESTADOR	dbo	view
SAP_PRESTANOCUB	dbo	view
SAP_PRESTSALUD	dbo	view
SAP_PROPUESTA	dbo	view
