
SQL*Plus: Release 11.2.0.3.0 Production on Tue Jun 18 14:42:15 2013

Copyright (c) 1982, 2011, Oracle.  All rights reserved.


Connected to:
Oracle Database 11g Enterprise Edition Release 11.2.0.3.0 - 64bit Production

SQL> SQL> 
OBJECT_NAME		       PROCEDURE_NAME		      OBJECT_TYPE	  OWNER
KUPC$_JOBINFO		       ADDLOGENTRY		      TYPE		  SYS
DBMS_XDB		       ADDMIMEMAPPING		      PACKAGE		  XDB
DBMS_RESCONFIG		       ADDREPOSITORYRESCONFIG	      PACKAGE		  XDB
DBMS_RESCONFIG		       ADDRESCONFIG		      PACKAGE		  XDB
DBMS_XDB		       ADDRESOURCE		      PACKAGE		  XDB
HTF			       ADDRESS			      PACKAGE		  SYS
HTP			       ADDRESS			      PACKAGE		  SYS
DBMS_XDB		       ADDSCHEMALOCMAPPING	      PACKAGE		  XDB
DBMS_XDB		       ADDSERVLET		      PACKAGE		  XDB
DBMS_XDB		       ADDSERVLETMAPPING	      PACKAGE		  XDB
DBMS_XDB		       ADDSERVLETSECROLE	      PACKAGE		  XDB
DBMS_XDB		       ADDTOLOCKTOKENLIST	      PACKAGE		  XDB
LT_CTX_PKG		       ADDTORICLOCKSLIST	      PACKAGE		  WMSYS
DBMS_XDB		       ADDTRUSTMAPPING		      PACKAGE		  XDB
DBMS_XDB		       ADDTRUSTSCHEME		      PACKAGE		  XDB
LT			       ADDUSERDEFINEDHINT	      PACKAGE		  WMSYS
DBMS_XDB		       ADDXMLEXTENSION		      PACKAGE		  XDB
DBMS_XDBZ		       ADD_APPLICATION_PRINCIPAL      PACKAGE		  XDB
LCR$_ROW_RECORD 	       ADD_COLUMN		      TYPE		  SYS
DBMS_OFFLINE_RGT	       ADD_CONFLICT_OFFLINE	      PACKAGE		  SYS
UTL_HTTP		       ADD_COOKIES		      PACKAGE		  SYS
DBMS_DATA_MINING	       ADD_COST_MATRIX		      PACKAGE		  SYS
DBMS_DATAPUMP		       ADD_DEVICE		      PACKAGE		  SYS
KUPF$FILE		       ADD_DEVICE		      PACKAGE		  SYS
DBMS_AW 		       ADD_DIMENSION_SOURCE	      PACKAGE		  SYS
DBMS_METADATA_DIFF	       ADD_DOCUMENT		      PACKAGE		  SYS
DBMS_METADATA_DIFF	       ADD_DOCUMENT		      PACKAGE		  SYS
DBMS_SCHEDULER		       ADD_EVENT_QUEUE_SUBSCRIBER     PACKAGE		  SYS
DBMS_DATAPUMP		       ADD_FILE 		      PACKAGE		  SYS
DBMS_FILE_GROUP_IMP	       ADD_FILE 		      PACKAGE		  SYS
KUPF$FILE		       ADD_FILE 		      PACKAGE		  SYS
DBMS_OFFLINE_RGT	       ADD_FLAVOR_OBJECT_OFFLINE      PACKAGE		  SYS
DBMS_OFFLINE_RGT	       ADD_FLAVOR_OFFLINE	      PACKAGE		  SYS
DBMS_XS_SESSIONS	       ADD_GLOBAL_CALLBACK	      PACKAGE		  SYS
DBMS_OFFLINE_RGT	       ADD_GROUPED_COLUMN_OFFLINE     PACKAGE		  SYS
DBMS_SCHEDULER		       ADD_GROUP_MEMBER 	      PACKAGE		  SYS
DBMS_OFFLINE_RGT	       ADD_INTERNAL_PKG 	      PACKAGE		  SYS
DBMS_PSP		       ADD_IN_MEMORY_PAGE	      PACKAGE		  SYS
DBMS_PSP		       ADD_IN_MEMORY_PAGES	      PACKAGE		  SYS
DBMS_SCHEDULER		       ADD_JOB_EMAIL_NOTIFICATION     PACKAGE		  SYS
DBMS_REFRESH_EXP_LWM	       ADD_LWM			      PACKAGE		  SYS
DBMS_OFFLINE_RGT	       ADD_MASTER_OFFLINE	      PACKAGE		  SYS
STANDARD		       ADD_MONTHS		      PACKAGE		  SYS
STANDARD		       ADD_MONTHS		      PACKAGE		  SYS
RE$NV_LIST		       ADD_PAIR 		      TYPE		  SYS
DBMS_OFFLINE_RGT	       ADD_PARAMETER_COLUMN_OFFLINE   PACKAGE		  SYS
DBMS_OFFLINE_RGT	       ADD_PRIORITY_GROUP_OFFLINE     PACKAGE		  SYS
DBMS_OFFLINE_RGT	       ADD_PRIORITY_OFFLINE	      PACKAGE		  SYS
DBMS_OFFLINE_RGT	       ADD_REPCOLUMN_OFFLINE	      PACKAGE		  SYS
DBMS_OFFLINE_RGT	       ADD_REPOBJECT_OFFLINE	      PACKAGE		  SYS
DBMS_OFFLINE_RGT	       ADD_RESOLUTION_OFFLINE	      PACKAGE		  SYS
DBMS_RULE_ADM		       ADD_RULE 		      PACKAGE		  SYS
DBMS_LDAP		       ADD_S			      PACKAGE		  SYS
DBMS_REFRESH_EXP_SITES	       ADD_SITE 		      PACKAGE		  SYS
DBMS_REPCAT_RGT_EXP	       ADD_SITE_INST		      PACKAGE		  SYS
DBMS_OFFLINE_RGT	       ADD_SNAPMASTER_OFFLINE	      PACKAGE		  SYS
DBMS_SQLTUNE		       ADD_SQLSET_REFERENCE	      PACKAGE		  SYS
DBMS_ADVISOR		       ADD_SQLWKLD_REF		      PACKAGE		  SYS
DBMS_ADVISOR		       ADD_SQLWKLD_STATEMENT	      PACKAGE		  SYS
DBMS_ADVISOR		       ADD_STS_REF		      PACKAGE		  SYS
DBMS_DM_MODEL_IMP	       ADD_TABLE		      PACKAGE		  SYS
KUPF$FILE		       ADD_TDX_ROW_CB		      PACKAGE		  SYS
LT			       ADD_TOPO_GEOMETRY_LAYER	      PACKAGE		  WMSYS
DBMS_METADATA		       ADD_TRANSFORM		      PACKAGE		  SYS
DBMS_WARNING		       ADD_WARNING_SETTING_CAT	      PACKAGE		  SYS
DBMS_WARNING		       ADD_WARNING_SETTING_NUM	      PACKAGE		  SYS
DBMS_SCHEDULER		       ADD_WINDOW_GROUP_MEMBER	      PACKAGE		  SYS
DBMS_PARALLEL_EXECUTE	       ADM_DROP_CHUNKS		      PACKAGE		  SYS
DBMS_PARALLEL_EXECUTE	       ADM_DROP_TASK		      PACKAGE		  SYS
DBMS_PARALLEL_EXECUTE	       ADM_STOP_TASK		      PACKAGE		  SYS
DBMS_PARALLEL_EXECUTE	       ADM_TASK_STATUS		      PACKAGE		  SYS
DBMS_XMLDOM		       ADOPTNODE		      PACKAGE		  XDB
DBMS_TRANSACTION	       ADVISE_COMMIT		      PACKAGE		  SYS
DBMS_AW 		       ADVISE_CUBE		      PACKAGE		  SYS
DBMS_AW 		       ADVISE_DIMENSIONALITY	      PACKAGE		  SYS
DBMS_AW 		       ADVISE_DIMENSIONALITY	      PACKAGE		  SYS
DBMS_TRANSACTION	       ADVISE_NOTHING		      PACKAGE		  SYS
DBMS_AW 		       ADVISE_PARTITIONING_DIMENSION  PACKAGE		  SYS
DBMS_AW 		       ADVISE_PARTITIONING_LEVEL      PACKAGE		  SYS
DBMS_AW 		       ADVISE_REL		      PACKAGE		  SYS
DBMS_TRANSACTION	       ADVISE_ROLLBACK		      PACKAGE		  SYS
DBMS_AW 		       ADVISE_SPARSITY		      PACKAGE		  SYS
PRVT_COMPRESSION	       ADV_ANALYZE_TABLE	      PACKAGE		  SYS
KUPF$FILE		       ALLOCATE_DEVICE		      PACKAGE		  SYS
LT_CTX_PKG		       ALLOWDDLOPERATION	      PACKAGE		  WMSYS
XDB_ANCOP		       ALLPATH_FUNC		      PACKAGE		  XDB
XDB_ANCOP		       ALLPATH_FUNC		      PACKAGE		  XDB
XDB_ANCOP		       ALLPATH_FUNC_INT 	      PACKAGE		  XDB
LT			       ALTERSAVEPOINT		      PACKAGE		  WMSYS
LT			       ALTERVERSIONEDTABLE	      PACKAGE		  WMSYS
LT			       ALTERWORKSPACE		      PACKAGE		  WMSYS
DBMS_SCHEDULER		       ALTER_CHAIN		      PACKAGE		  SYS
DBMS_SCHEDULER		       ALTER_CHAIN		      PACKAGE		  SYS
DBMS_DDL		       ALTER_COMPILE		      PACKAGE		  SYS
DBMS_STATS		       ALTER_DATABASE_TAB_MONITORING  PACKAGE		  SYS
DBMS_RULE_ADM		       ALTER_EVALUATION_CONTEXT       PACKAGE		  SYS
DBMS_AW_EXP		       ALTER_LOB_SIZE		      PACKAGE		  SYS
DBMS_DATA_MINING	       ALTER_REVERSE_EXPRESSION       PACKAGE		  SYS
DBMS_RULE_ADM		       ALTER_RULE		      PACKAGE		  SYS
DBMS_SCHEDULER		       ALTER_RUNNING_CHAIN	      PACKAGE		  SYS
DBMS_SCHEDULER		       ALTER_RUNNING_CHAIN	      PACKAGE		  SYS
DBMS_STATS		       ALTER_SCHEMA_TAB_MONITORING    PACKAGE		  SYS
DBMS_SQLDIAG		       ALTER_SQL_PATCH		      PACKAGE		  SYS
DBMS_SPM		       ALTER_SQL_PLAN_BASELINE	      PACKAGE		  SYS
DBMS_SQLTUNE		       ALTER_SQL_PROFILE	      PACKAGE		  SYS
DBMS_STATS		       ALTER_STATS_HISTORY_RETENTION  PACKAGE		  SYS
DBMS_DDL		       ALTER_TABLE_NOT_REFERENCEABLE  PACKAGE		  SYS
DBMS_DDL		       ALTER_TABLE_REFERENCEABLE      PACKAGE		  SYS
OWA_PATTERN		       AMATCH			      PACKAGE		  SYS
OWA_PATTERN		       AMATCH			      PACKAGE		  SYS
OWA_PATTERN		       AMATCH			      PACKAGE		  SYS
OWA_PATTERN		       AMATCH			      PACKAGE		  SYS
DBMS_AW_STATS		       ANALYZE			      PACKAGE		  SYS
DBMS_SCHEDULER		       ANALYZE_CHAIN		      PACKAGE		  SYS
DBMS_UTILITY		       ANALYZE_DATABASE 	      PACKAGE		  SYS
DBMS_ADDM		       ANALYZE_DB		      PACKAGE		  SYS
DBMS_ADDM		       ANALYZE_INST		      PACKAGE		  SYS
DBMS_DDL		       ANALYZE_OBJECT		      PACKAGE		  SYS
DBMS_ADDM		       ANALYZE_PARTIAL		      PACKAGE		  SYS
DBMS_UTILITY		       ANALYZE_PART_OBJECT	      PACKAGE		  SYS
DBMS_UTILITY		       ANALYZE_SCHEMA		      PACKAGE		  SYS
HTP			       ANCHOR			      PACKAGE		  SYS
HTF			       ANCHOR			      PACKAGE		  SYS
HTF			       ANCHOR2			      PACKAGE		  SYS
HTP			       ANCHOR2			      PACKAGE		  SYS
DBMS_LOGREP_EXP 	       ANYDATA_IMPORT_STRING	      PACKAGE		  SYS
DBMS_LOB		       APPEND			      PACKAGE		  SYS
DBMS_LOB		       APPEND			      PACKAGE		  SYS
DBMS_XMLDOM		       APPENDCHILD		      PACKAGE		  XDB
XMLTYPE 		       APPENDCHILDXML		      TYPE		  SYS
